Team Name,Fans,Location
Broward,144,Florida
Fort Myers,138,Florida
Jacksonville,249,Florida
Miami,431,Florida
Orlando,396,Florida
Palm Beach,99,Florida
Pensacola,109,Florida
St. Petersburg,96,Florida
Tallahassee,66,Florida
Tampa,409,Florida
Duluth,74,Minnesota
Mankato,39,Minnesota
Minneapolis,206,Minnesota
Rochester,51,Minnesota
St. Cloud,51,Minnesota
St. Paul,150,Minnesota
Atlanta,425,Georgia
Augusta,53,Georgia
Columbus,101,Georgia
Macon,76,Georgia
Savannah,106,Georgia
Athens,110,Georgia